winery,wine_name,wine_type,wine_country,average_rating,num_of_ratings,wine_price,grapes,alcohol_content,reviews
Taylor's,Special Ruby Port N.V.,Fortified Wine,Portugal,3.8,43,17.99,"Touriga Nacional, Touriga Franca, Tinta Roriz, Tinto Cao, Tinta Barroca",20,"Great port, very friendly warm glow,Had at port tasting, no notes,CORKED!!!!! My humble mistake.... bad kept!!! (I hid it under sofa for... must be 20 years++) Sour as vinegar, liquid as ox blood, tasted as... don't know what to compare... Sorry for this 1 star because I don't know how to score while it was corked like this. I will try it another time, if having a chance..."
Villa Wolf,Pinot Noir Rosé 2019,Rosé wine,Germany,3.9,836,15.99,100% Pinot Noir,11.5,"Pretty good value on this bottle. Deep salmon color. Intensive but balanced. Sweet citrus fruit and red fruit, maybe cherry and some strawberry.,Wonderfull Pfalz (Germany) Pinot Noir rose. Strawberries, cherries and watermelon notes - it’s clean and to the point with mid body & acidity.,Very beautiful peach coloured wine. Nose with subtle rose. Palate is a bit sweet and doesn't offer a ton in terms of complexity. Just a really nice summer wine."
Williams & Humbert,Dry Sack Medium N.V.,Fortified Wine,Spain,3.4,498,,100% Pedro Ximenez,19.5,"👀 Medium amber👃 Pronounced intensity with aromas are of orange blossom, apricot, honey, hazelnut, and wet stone 👅 The wine is off-dry with medium acidity, high alcohol, and full body. Pronounced flavor intensity and a medium(+) finish. The flavors are of apricot, hazelnut, and wet stone 🧠 The wine is good. Not suitable for bottle aging.,Strong nose of maple and hazelnut. Nicely balanced between sweet and dry. Same notes on the palate with a little dried fruit and pear.,Yahoo... good staff for windy day. Like a mulled wine, but... I chose medium sweet, medium dry with nice aroma and yellow color"
Frescobaldi,Tenuta Frescobaldi di Castiglioni 2017,Red wine,Italy,4.2,491,19.99,"Merlot, Cabernet Sauvignon",13,"What a fantastic bottle for the price point. Lovely aromas of chocolate, oak. Cherry flavours with slight tartness. Smooth tannins. A new favourite!,Bold and punchy out the gate - mellows out upon decanting. Fruity, but not sweet - quite dry. Blueberry, blackberry, black currant, anise, with great tannins that really tie the whole thing together. Nice long, dry finish. There’s something floral in there, too, but I can’t quite put my finger on it.,Lovely Toscana for a very happy birthday celebration!! Young wine with nice cherry sweetness. Mid finish of chocolate. Goes well with red meat."
Kopke,Fine Ruby Port N.V.,Fortified Wine,Portugal,3.7,2412,19.99,"Touriga Nacional, Touriga Franca, Tinta Roriz, Tinto Cao, Tinta Barroca",19.5,"I picked this up for for 9 bucks I have to say, to this was not quite as good as a 15 year old aged wine but it was pretty close.,It's rare that I have a dessert wine, but this is ideal: a little bite at the beginning, which gives way to rich & sweet flavors.,Its quality goes over my expectations! It’s like vintage port with dark cherry, chocolate flavour. In some casee, spicy nose comes when drinking"
Domaine de Fenouillet,Muscat de Beaumes de Venise 2018,Fortified Wine,France,4.3,50,,Muscat Blanc,,"Elegant and expressive, with all the fruit and floral flavors expected from Muscat. High intensity aromas of lychee, elderflower, honeysuckle, ripe peach and passion fruit. The wine is sweet but not cloying, as the acidity provides a good backbone. Medium+ body and medium length, drink now.,Fragrant, elderflower syrup like rich nectar,Good desert wine, not too sweet and refreshing"
Domaine Les Temps Perdus - Clotilde Davenne,Crémant de Bourgogne Brut Extra N.V.,Sparkling wine,France,3.8,8592,36.99,"Pinot Noir, Chardonnay",,"Light, refreshing, but dry enough to support a charcuterie plate. Not much that identified it as Pinot, but who cares? A do-over.,Pale yellow. On the nose eggs and sulfa. On the palette very dry. No dosage. High in minerals. Balanced acidity with à slight acidity,We have tasted this to pizza. That was very good. But I think also to pasta it will be a good combination. I will recommend it. Drink it👍🍾😎"
Piaggia,Il Sasso Carmignano 2017,Red wine,Italy,4.2,414,32.99,"Merlot, Sangiovese, Cabernet Sauvignon",14.5,"4.25 Plum and blackberry on the nose. Tart berry, coffee, fairly tannin on the palate. Dry leather finish. Was good without food and with pasta,Wow. This exceeded expectation 10 fold (I always worry that those words do not a compliment like I mean it) fantastic fruit! Balanced, vanilla, oak and blackberry. I would buy a case of this.,Extraordinary! Dark fruits, plums, pepper, chocolate, leather and extremely well balanced. Juicy and the tannins are remarkably correct. A piece of art from Toscana. 4.3 points"
Flowers,Pinot Noir 2018,Red wine,United States,4.3,499,35.45,100% Pinot Noir,14.1,"Stunning Ruby color with aromas of sweet red fruit and herb baking spice. Aged for 10 months on French oak, (18% new). On the palate flavors of cherry and raspberry with clove, herb and baking spices. Long finish, fine full tannins ending with fruit, spice and slight earthy notes. Top-notch!,I mistakenly deleted all my notes on this wine. You’ll have to believe me when I say they were the most fascinating, exacting and creative notes I’ve EVER written. Had they not disappeared due to my inexperience with this new phone, I can only surmise that ‘Wine Spectator’ would have been knocking at my door with offers of employment as a major worldwide contributor to their analyses of wines old and new. It’s unfortunate that I can’t recall my notes other than to say that this ‘FLOWERS’ is a huge favorite.,Really unique sonoma pinot. Ripe cherry and strawberry leaps from the glass. Wild raspberry and pomegranate too... on the one hand it seems ultra sweet but there's this perfectly counter-balanced tangy acidity. Perhaps it's better to say how it feels than how it tastes. It simply has a ton of personality: an expressive, gregarious, sensuous wine. Just kind of titillates the palate from the tip of your tongue to the long, flinty, mineral finish. Too cool for school. Makes pinot look easy."
Blandy's,10 Years Old Malmsey Madeira (Rich) N.V.,Fortified Wine,Portugal,4.0,862,,100% Malvasia,19,"Loads of nuts, vanilla and brown sugar with a scrumptious bitter coffee edge that gives it complexity. The flavor is so round and luscious but not cloying...,2008 vintage,Color: Burnt orange Aromas: Enticing toffee, orange marmalade, roasted nuts, dried figs, caramel, honeycomb Body:Full-bodied and rich with very good acidity that keeps it from being cloying Taste: Toffee, honey, dried fig, orange marmalade, burnt brown sugar with hints of coffee and roasted nuts Finish: Long, sweet"
Domaine des Baumard,Quarts de Chaume 2005,Dessert wine,France,4.5,114,192.99,100% Chenin Blanc,,"The versatility of Chenin Blanc manifests itself in this nectar. Luscious, honey, peaches, apricot aroma-flavours. More viscous than a Sauternes but just as delicious, irresistible and age worthy. Quarts de Chaume is Loire’s first Grand Cru and Baumard is the gold standard.,Excellent night cap. All the complexity you want in a sweet wine. Nectarine, honey, ginger, apples, so much fruit and gaining with age.,This is among my favorite dessert wines. Lots of melon and raisin. Has some nice viscosity and great length."
Chateau Ste. Michelle,Canoe Ridge Estate Merlot 2018,Red wine,United States,4.3,29,25.49,Merlot,,"oak leather dark fruit dark chocolate mocha,Never disappointed with any of ste chateau Michelle wines. Lovely fruit forward Merlot, great value at Costco!,Dark and savory sweet fruit with a light earthy finish"
Niepoort,Ruby Port N.V.,Fortified Wine,Portugal,3.6,1354,,"Tinta Francisca, Touriga Nacional, Touriga Franca, Tinto Cao",19.5,"2007 vintage,2012 vintage,Notes of smoke plum brown sugar dried cherry Sweet and spicy palate Moderate finish No sign of disturbing alcohol, which is good Paired very well with dessert(sorbet, chees cake)"
Hubert Brochard,Tradition Sancerre 2019,White wine,France,4.3,259,39.99,100% Sauvignon Blanc,13,"Pale lemon appearance. Aromas of gooseberry on the nose. Dry, crisp, high acidity and light-bodied with pronounced flavors of peach, gooseberry, white blossom and flint. Long finish and nice complexity. First time tasting a Sancerre that had stone fruit as a predominant flavor - outstanding quality.,Pale lemon in color with medium intensity nose. Floral, blossom, lemon, green apple, lime, pear. Dry, high acidity, medium bodied and medium alcohol. Medium plus intensity on the body . Green apple, lemon, pear, slight zest, soft rounded body. Ripe tropical fruit, mango, lychee. Outstanding quality of wine. 4.3 stars. Mostly clay with some limestone in the soil. The earth and minerality shines through.,Aromas of lemon custard and fresh bread. Full bodied flavors of citrus and cantaloupe. Super smooth finish."
Ferreira,Ruby Port N.V.,Fortified Wine,Portugal,3.8,5836,,"Tinta Amarela, Tinta Cão, Touriga Nacional, Tinta Roriz, Tinta Barroca",19.5,"A deep claret color with aromas of raisins, figs, and dates. Lovely smooth flavors of raisins, licorice, and plums. A cozy and warm finish. Great for a chilly evening.,Always surprised how good port is especially for the price. This one has some body to it in the beginning, like tannins. Afterwards smooth and soft sweetness. Just a good wine (3.8),2013 vintage"
Angels & Cowboys,Rosé 2019,Rosé wine,United States,4.0,265,10.99,100% Grenache,12.8,"One of my favorite rose’s to date! Nose of honey, melon, green apple. The palate is crisp and clean, tart on the finish. There’s honeycrisp Apple. Tart fresh strawberry. Touch of vanilla.,A&C’s 2019 Rose improves over their 2018 version; it brings more red fruit this time, as evidenced by its pinker hue. Lime and grapefruit again feature on the nose, but strawberry and red currant join on the tongue to complement the softer citrus. Lime blossom at the close. Dry, crisp taste and also quite easy-drinking. 12.8% abv. Julia liked this one. We enjoyed it with grilled chicken breasts (Julia’s spicy hoisin glaze) + scallion soba noodles. 6.28.20,So good! Soooooo much citrus. Lime and lemon and grapefruit! Soft red fruit notes. So light and bright and fun!"
Domaines Ott,By.Ott Rosé 2019,Rosé wine,France,3.9,1253,22.42,"70% Grenache, 20% Cinsault, 10% Shiraz/Syrah",13,"TGIF!🎉 As a non Rose drinker I really like this Rose and go for 3.8 stars!🤤🍷💥 Many Vivino friends have rated this wine low in previous vintages.🤷🏼‍♂️ A pale to medium cooper color with long legs. Medium- intense aromas of strawberries, grapefruits, melons, minerals and flowers. The rose has a medium and refreshing acidity. It’s medium- bodied with 13.5% ABV. Medium flavors of strawberries, smooth grapefruits, lemons, honeydew melons, minerals & flowers. A medium+ finish with strawberries & citrus fruits.,Good elegant rose from the Provence. Little acid, dry but fresh with tastes of red fruit a.o. strawberry. Furthermore melon peach citrus,Tons of strawberry on the nose, nice citrus and stone fruit flavors. Light and crisp and easy to drink alone or pair with food. A bit pricey tho."
Le Paradou,Côtes de Provence Rosé 2019,Rosé wine,France,3.9,110,25.99,"Vermentino, Cinsault, Grenache",13.5,"3.8 pts. Pale rosé from Provence region, made up of grenache, cinsault and vermentino grapes. Strawberries and floral hints on the nose. A little tenuous on the palate, even if refreshing. Dry ending,Strawberries, melon, citrus and peach,If I could rate this at 3.8 I would. A great drinking rose."
Saracco,Moscato d'Asti N.V.,Sparkling wine,Italy,4.1,10066,,100% Moscato Bianco,5.5,"2016 vintage,2018 vintage,2009 vintage"
Brancott Estate,Sauvignon Blanc 2019,White wine,New Zealand,4.1,6911,12.99,100% Sauvignon Blanc,13,"Yummy yummy! Tommie and I both like it. Tart but doesn’t have a bite. I think it’s good for the price but need to check on that.,Fantastic! Tons of fruity undertones (strawberry, lemon, pear) and a light, sweet finish. So reasonably priced too. If you’re throwing a party, buy this,Oh my. Apple pineapple peach lemon all infused to create a delicious wine perfect for parties. Pity I’m locked down so will have to share with myself."
Wölffer Estate,Summer In A Bottle Rosé 2019,Rosé wine,United States,4.1,532,25.59,"Merlot, Riesling, Cabernet Franc, Chardonnay, Gewürztraminer",12.8,"Pale blush in the glass. Aromas of strawberry and melon. Notes of citrus and watermelon on the palate with some subtle peach notes as well. Balanced and smooth. Fresh acidity. Pairs well with a baguette and cheese.,Part of a listing of great summer rosés. The beautiful floral design on the bottle is an early indication that this wine will be special. Bright copper color with aromas of strawberry, melon, and rose petals on the nose. On the palate, strawberry and melon are present along with some subtle pear. The wine is rich with an elegant mouthfeel and evenly balanced among fruit, fine tannins, and easy minerality. The wine is a mix of nine different grapes.,Arriving in a beautifully designed bottle, this wine truly is like summer (but in a bottle). The bright copper colored wine displays aromas of strawberries, melon, and rose petals on the nose. On the palate, the strawberry and melon flavors are joined by subtle notes of pear. The mouthfeel is rich and elegant, and the wine strikes a wonderful balance among the fruit flavors, fine tannins, and crisp minerality. The finish is long and satisfying. The wine consists of nine (!) different grapes."
Matthiasson,Linda Vista Vineyard Chardonnay 2018,White wine,United States,4.1,430,34.99,100% Chardonnay,12.2,"Mmmm.... It is always a ""risk"" that a Chardonay are too typical and a bit boring. This one have the great Chardonay taste with oakiness but still fresh and a bit fruity. Very enjoyable.,A subtle bouquet of apples, mirabelle plums and salt marsh, golden yellow in the glass, oily texture, fresh and juicy on the palate with citrus, limes and enormous fruit pressure, the acidity and minerality are in a balanced balance and are refreshing in the short, crisp finish. A Chardonnay in the new Californian style that doesn't have to hide behind Burgundy. Out of the ordinary ...,4.3 stars. Nose of spiced pear, green apple, butter, and toasted caramel. Palate is light and lean with apricot, peach, lime, citrus, and green apple. Acidity medium +, alcohol low, medium body and soft mouthfeel. Long and tangy finish. A beautiful Chardonnay that’s made in a Chablis style. Delicious."
Mondoro,Asti N.V.,Sparkling wine,Italy,4.1,4771,,100% Moscato,7.5,"2011 vintage,Sweet, bubbly, fun. Yum!,2008 vintage"
Marsuret,Il Soller Prosecco di Valdobbiadene Superiore Extra Dry N.V.,Sparkling wine,Italy,3.8,1811,30.99,100% Glera,11.5,"2013 vintage,2015 vintage,This sparkling shows a pale straw yellow color with a very soft mousse. On the nose aromas of green apple, citrus and wild flowers. On the palate nuances of toast, pear, green apples and hints of lime. Great acidity and softness."
Château Climens,Cyprès de Climens Barsac 2009,Dessert wine,France,4.0,55,,Sémillon,,"Thick creamy with caramel and honey and peeled orange,This is good stuff for your dessert,Very well received with a summer fruit pudding. Not too sweet, lovely oily texture."
Quinta de Monte Redondo,Tawny Porto N.V.,Fortified Wine,Portugal,3.3,25,16.99,"Touriga Franca, Tinta Roriz, Tinto Cao",,"Drinking from a bottle that has been open for an unknown period of time. After 4 days of feasting this holiday season, this is pretty okay.,Nice, sweet (but not overly sweet), smooth tawny port.,2008 vintage"
Graham Beck,Brut Rosé (Chardonnay - Pinot Noir) 2015,Rosé wine,South Africa,4.0,99,25.99,"82% Pinot Noir, 18% Chardonnay",12.7,"90% Pinot Noir, 10% Chardonnay.... Stunning vintage experienced in a non-flute glass. Tasted this in 3 different styled glasses, what a difference it made!,Fairly good. $18 at Andersons. Nov 26,2916. 54 percent Pinot noir and 46 percent Chardonnay. South Africa.,Method Cap (Cape) Classique - The Cape way. Great bubbly with Strawberry, cream and yeast on the palate. Perfect balance of bubbles."
Domaine La Tour Vieille,Rimage Banyuls 2016,Dessert wine,France,4.0,47,34.99,100% Grenache,,"👀 Medium ruby👃 Medium(+) intensity with aromas are of strawberry, red cherry, black pepper, cinnamon, and violet 👅 The wine is sweet with medium(+) acidity, ripe medium tannin, low alcohol, and medium(+) body. Medium(+) flavor intensity and a medium(+) finish. The flavors are of strawberry, cinnamon, and black pepper 🧠 The wine is very good. Suitable for bottle aging.,Deep ruby colour. Lychee, Longan + Sarsi syrup on the nose. Not too sweet. Enjoyable dessert wine went well with my Chocolate Budino. Gatehouse Restaurant, CIA. 2019.,Lovely dessert wine"
Château Moncontour,Vouvray Demi-Sec 2018,Dessert wine,France,3.8,131,27.99,100% Chenin Blanc,,"bright stone fruit, slight tangy sweetness, very easy to drink off-dry, medium bodied, medium-high acidity, low minerality apple, mango, lime, faint slate,Medium dry, with a prominent sweet and smooth fruitiness. Peach, honey and lychee with a tropical and light green fruit taste. Low acidity. Very drinkable with a soft and rounded mouthfeel. Easy drinking.,Nice acidity that balances with the residual sugar for an easy wine that’ll pair with a lot of foods and palates."
Vignobles Bernard Reglat,Château Cousteau Cadillac 2010,Dessert wine,France,3.8,39,,"Sauvignon Blanc, Sémillon",,"Interesting wine to combine with foie,2016 vintage,2014 vintage"
Masút,Pinot Noir 2016,Red wine,United States,4.3,313,50,100% Pinot Noir,14.5,"I am starting to realize I like Pinot Noir. Light tannin, a mix of stone fruit and very light citric. More on the dry side with medium body. Really liked it!,I LOVE this Pinot Noir! It’s very elegant and balanced, you can savor the fruit, especially red and marasca cherry, contrasted by a balanced acidity, silky tannins and a touch of minerality. It’s like a “main course version” of a sherry. At this price it’s highly recommended,Big deal PN! Feeling it. Fam was loving it. Firing on all cylinders. Darker presentation and slightly fruit forward. Balanced amount of cherries, strawberries, cranberry sniff with allspice bouquet. Refined and smooth tasting throughout. Finished slightly dry with a cola “pop”. Can be had for way under $30. A must buy."
Viña Cobos,Cocodrilo Red Blend 2014,Red wine,Argentina,4.2,2601,29.99,100% Cabernet Sauvignon,14.5,"92 pts; so much colour; so much fruit; so much leather and tobacco; so much finish, so much joy! Don’t over think it, just drink it. Recommended.👌,What a fantastic wine. Argentinian Bordeaux style blend. Cabernet Sauvignon and Malbec heavy. Oaky, toasted, with black pepper and savory spices. Crushed stone minerality and ripe dark fruits on the palate.,Dark cherry, tobacco, chocolate. First sniff was an explosion of scents coming out. Surprisingly very smooth, low tannin. Lin lasting aftertaste. Beautiful blend. Very well done. Great for grilled meats, tomato based dishes, and roasts."
Lolea,No. 2 White Sangria Frizzante N.V.,Sparkling wine,Spain,3.9,1218,,"Chardonnay, Macabeo",,"Holy peach. If you live in Georgia this is the white sangria for you. FYI. California produces more peaches than Georgia per year. So this review is totally flawed.,Great Sangria! Perfect drink for hot summer days. Frizzy, a bit sweet wine with fruit juice. Aromas of white peach, orange, lime. Anna Svyrydenko,Sangria made with Macabeo and Chardonnay white wine, fresh orange and lemon juice, and a touch of vanilla. 7% abv. Aromas of white flowers, citrus, vanilla. Flavors of stone fruits, apricot, nectarine. Light body, balanced acidity and sweetness."
Bertani,Duè Uvè Bianca 2018,White wine,Italy,4.1,322,17.99,"Sauvignon Blanc, Pinot Grigio",12.5,"The mixture of these two grapes is fantastic. A medium dry wine with notes of fruit create a very pleasant wine to drink on its own or with a lighter fish. We will have this again!,Nice mix of Pinot Grigio (for nose) and SB (for smooth texture),4*, 🍇 Pinot Grigio, Sauvignon Blanc, 👍 BDT Event March 2021 Aromatic, fresh, medium acidity, well balanced wine, melon and pear notes, citrus fnish."
Fonseca,10 Year Old Tawny Port N.V.,Fortified Wine,Portugal,4.0,2590,,"Tinta Amarela, Tempranillo, Touriga Nacional, Tinta Roriz, Tinta Barroca",20,"One of the best 10 year old Tawny Ports in my humble opinion. It has a lovely balance of dark rich fruit and toasty, smoky caramelised soft dark sugar. The sweetness and higher acidity work well. It comes in handy 500ml bottles, and it tells you the year it was bottled on the label, so you know it hasn't been sat under lights in the shop for 5 years. Simple things! I've never been disappointed with a bottle of port from Fonseca, a really top class producer. Port season is back!,A very good 10 year aged tawny, from the famous Fonseca estate. Great to find a series of them at a tasting. Chapeau to Wittebol! Rich flavored with dried fruits, spices, a nutty impression too. On the palate fresh and balanced. Very good. A pity that the 20 year aged version was the next bottle, which balanced the grading for this one a bit 😇. Still a fully deserved 16 pts. @ Wittebol Aalsmeer.,2012 vintage"
Barton & Guestier,Tourmaline Côtes de Provence 2018,Rosé wine,France,4.1,693,22.99,"Shiraz/Syrah, Cinsault, Grenache",,"Very nice Rose, and a beautiful bottle! Not my favorite Provence rose of the season however, and there are many other fine choices at a more affordable price.,Excellent rosè from Provence, presented in an absolutely beautiful, elegant bottle! Nose is 5 stars, complex explosion of fruits ranging from watermelon, apricot and strawberry, paired with soft flowery notes. A wine perfume that excites the senses. Loses some of its complexity on the mouth due to some degree of minerality, which is why I gave it 4.5 stars overall, but nonetheless a truly great sample from the land of Rosè.,4.2/5 Hallmarked by pleasure freshness from fresh minerality in a rainy day and citrus grapefruit with solid structure from medium plus acidity and subtle red fruits (particularly wild strawberry). Aromas originated from white flowers aromas are intense and lingering. Slight saline, grassy, and savory dairy product flavours boost up its complexity. This is the reliable example of high-quality Provence rose. Paired well with diverse foods on the table."
Salt Of The Earth,Moscato Rubino 2018,Dessert wine,United States,4.5,40,,Moscato,,"Delish. A little sparkly and a lot of joy.,Definitely sweet, good dessert! Fruity and smooth,Very sweet. Great grape flavors and pleasant carbonation"
Colombo,Marsala Fine Dry N.V.,Fortified Wine,Italy,3.2,77,,"Grillo, Inzolia",18,"Oooohhh, great color.. Deep amber n copper... Simple nose of raisins and figs.. Entry is a bit thin but decent. All spice clove... Again simple... Alcohol a bit evident on the finish... Drawn out a bit... Average to solid, but what cha expect for 8 bucks??? 86.5 pts... Good value...,Semi-dry, nutty, and smooth. A very enjoyable early evening cocktail.,Cooking wine...not a fan as a aperitif but it has its place, good for a chicken marsala"
Luigi Bosca,Single Vineyard Malbec 2016,Red wine,Argentina,4.2,4065,19.99,100% Malbec,14,"Plum, cassis, cola, chocolate, cigar, blueberry. Heavy body, big fruit, bright acidity, silky tannins on a medium long finish.,Decanted and aerated, was incredibly smooth, aromas of tobacco, black fruit, flavors/texture of leather, mild tannins, great with pizza with salami and truffles,Very fruity and strong. In nose - cherry and plum with vanilla. In mouth- blackberries with a lot of alcohol and nice acidity. Not so cheap but worth any penny."
St. Urbans-Hof,Nik Weis Selection Urban Riesling 2019,White wine,Germany,4.2,1920,11.99,100% Riesling,10.5,"Floats like a Hydrogen balloon. Very gentle Riesling indeed. Candied orange, egg custard, and more sweetness than acid. Little bit of ginger biscuit. Not too deep and complex, but very very nice.,Wow, bang for the buck! Balance, soft minerals, gentle acidity, sweet green apples, pear and hints of peach.,Apple, pear, citrus, stone and minerals. High acidity, slightly dry and very refreshing. Perfect combo with Asian food."
Nika,Bent el Riah Passito di Pantelleria 2011,Dessert wine,Italy,3.5,34,,Sangiovese,,"Menthol, eucalyptus, bitter orange peel. Interesting nose. It does remind me a bit of Madeira. Pretty fun stuff.,Orange blossom on nose and palate, bright fruit, nice viscosity, some acid. Nice and interesting Wine.,Only rating. 3.7"
Serafini & Vidotto,Il Rosso dell'Abazia 2015,Red wine,Italy,4.3,304,39.99,"55% Cabernet Sauvignon, 30% Cabernet Franc, 15% Merlot",13.5,"Really surprise for 30 eur Very elegant, with structured body, perfect balanced finish Wood, oak, black currant, Rowan, bitter chocolate, cigar, tar I will buy it again 👍,Elegant nose of dry cherry and cassis. Extremely silky tannins with vanilla and sweet spices on the palate. 13.5% blend of Cabernet Sauvignon dominant grapes. Balanced acidity for a long finish with cigar and truffle,I really want to give this a 4.3, but that is not possible on Vivino, so 4.5 will have to suffice. Oh the sacrifices I make. This is absolutely delicious. It smells like heaven and tastes about the same. The first sip is all cassis all the time. But it’s sort of cassis as in M&S wine gums (not their shitty wine). Sweet cassis almost. It is also very dry like a French wine which I was not expecting from an Italian red. It is heavy. Don’t eat too much beforehand like we did. This deserves your empty belly. 🤪"
Marimar Estate,Don Miguel Vineyard Acero Chardonnay 2017,White wine,United States,4.2,131,34.99,100% Chardonnay,13,"This is one incredible Russian River Valley Chardonnay. Gorgeous color with creamy tropical fruit & pear flavors. The finish is really long.,A lovely chardonnay that has not touched any oak. Therefore, it is fresh, light and the grapes really get to shine. Pear, apricot, and water melon. Very refreshing and a real delight.,Candied stone fruit and ripe melon make their presence well known when you swirl and then inhale this beauty. The palate offers stone fruit, especially peaches, along with citrus and a well integrated acidity. Enjoy!"
La Rioja Alta,Viña Ardanza Reserva 2012,Red wine,Spain,4.3,2586,36.99,100% Tempranillo,14.5,"Happy Friday Vivinors! As always this wine is a stunner! Still relatively young at 9 years old this still has some bite despite tertiary notes rising in the back. Rich cherry, leather, cola, herbs, almost root beer/sassafras moment. Intense leather cherry finish! Always enjoy this and highly recommended if you havent tried it!,Brick tint. Plum, green pepper, violets on the nose. Spice, barbecue meat, and cherry palate. Lingering acid+ and solid tannins.,A lovely deep red wine. Soft red fruits on the nose. Smooth wine. Absolutely drinkable on its own but would pair well with tapas and steak"
Château Villefranche,Sauternes 2017,Dessert wine,France,4.2,99,29.99,"Muscadelle, Sauvignon Blanc, Sémillon",14,"Honey, tangerine, mango, tropical fruits, stone and perhaps kiwi. Sweet and full bodies on the palate, a very nice dessert wine.,Amazing sweet wine. Nice light yellow colour. 👃: fresh, light, pears and fruits. 👄: super soft wine, you can feel the sugar but it’s it’s not over the top. Lemon, tropical fruits, soft oily finish. Good stuff 4.0,🎈🎉🎂🎊🎈 Family lunch to celebrate my youngest son's birthday. Wine 4 of 4. Sorry for the abreviated tasting notes. 🌍 Bordeaux dessert wine (at an Italian restaurant 🤫), 🇫🇷🥂 🍽️ Paired with with blue cheese 👀 Straw 👃 Beeswax 👅 Honey, pear, beeswax 🤔 Tasty drop, but I have tasted better Sauternes. Anyway, a nice end to a pleasant lunch on a public holiday Monday ⭐ 3.6, 🇫🇷🥂"
Quinta do Noval,Fine Ruby Port N.V.,Fortified Wine,Portugal,3.7,1634,14.99,"Touriga Franca, Tinta Roriz, Tinta Barroca",19.5,"👁 deep blood red crimson 👃rich sweet black fruits 👅 medium weight mouth feel. Concentrated fresh sweet fruit is complimented by vibrant acidity on the finish. Very fresh style. 📝 unusual for a ruby port this wine does spend approx 2 years on old oak which adds some depth and complexity.,My first Portuguese Ruby port. Well not the very first one, but the first I reviewed :) Cherry, cranberry, plum, chocolate with hints of oak. Goes perfectly with morning espresso in rainy Tallinn.,Port as another fortified wine - here Ruby from Quinta do Naval - appearance ruby colour, in the nose black fruits, black plum, on the palate sweet, strawberry, medium finish"
Lieu Dit,Melon 2019,White wine,United States,4.2,129,25.49,100% Melon de Bourgogne,12,"Great wine! Lots of Minerals and lemon. A nice hint of lemon. Would pair great with the oysters on the label, but I’ll settle for some nice capocollo and a few herb crackers!,I really like this wine... And, based on my past experiences with this label, this is not a surprise... Gorgeous clarity. Minerally... Smooth... Will try next w the oysters on the bottle, but also worked incredibly well w smoked salmon....,Very nice wine. A bit of minerality to it and lemon flavor. Some acidity. A bit of that white burgundy nose and some melon fruit."
Varvaglione,Papale Linea Oro Primitivo di Manduria 2017,Red wine,Italy,4.4,1091,39.99,100% Primitivo,14.5,"Jam nose, medium minus acidity, much more silky that its common brother, beautifully balanced, creamy sour cherry aftertaste.,High intensity, leather, dark fruits, smoke, clove, very aromatic and intense with a great juicy complex taste and a looong chocolate finish. What's not to love about that? ^_^,4.3 ⭐️ Great Primitivo! Well balanced, fine tannins, rich nose! Notes of cherry, plum, jam, oak, tobacco!"
Château Rieussec,Carmes de Rieussec Sauternes 2011,Dessert wine,France,4.1,571,36.99,"Sauvignon Blanc, Sémillon",13.5,"So yum! Beautiful gold color. Medium plus body. Lemon curd, honey, dried apricots, marmalade, orange zest, wax, white flower, honeysuckle. Great acidity. Very well balanced. So enjoyable!,Strong Sauternes ""shoe-polish"" smell with Cooked orange, tropical fruit and some oak hints. Balanced sweet and acid. Although lack of some complexity, it still a delicate dessert wine.,4.4⭐️ chateau owned by Lafite Rothchil Family. aged from 16-26 month in barrel, depending on the vintage. 55% in new oak. you can pair this wine with all courses. deep lemon, nose lychee, hazelnut, almond, palate: ripe peach , honeysuckles and apricot, high in acidity, full body with lingering finish"
Moniker,Cabernet Sauvignon 2017,Red wine,United States,4.3,27,25.99,100% Cabernet Sauvignon,14.5,"Dry, full bodied, tannic. Oak, leather with hints of vanilla and cherry. Very good cab especially given the price just under $20.,A day leftover at home but quite a delightful cab,Dry balanced finish"
Caposaldo,Peach Moscato N.V.,Sparkling wine,Italy,4.2,287,14.99,100% Moscato Bianco,6.4,"Excellent peachy sparkler. Worth the price,Absolutely dreamy. Perfectly peachy, sparkling, and crisp.,In store tasting, variety 1 of 4 - this smells and tastes like a lighter, less sweet version of a Bellini. Really good, actually. I was expecting to dislike, but I'll most likely grab a few bottles of this for summer days lounging in the backyard. Surprising, but if you like Bellinis, worth the $9!"
Leviathan,Red 2018,Red wine,United States,4.2,830,28.35,100% Cabernet Sauvignon,,"This red blend was a perfect housewarming gift. Inky, dry finish. Medium bodied. Notes of black fruit, cassis, and oak. Pair with red meat or chocolate or barbecue.,This is really good stuff. Bold and brash with lots of cassis, rhubarb pie filling and a nice spicy bite, this is a big wine. Good tannins and a finish that lasts forever.,Juicy, Fruity and complex. Deep dark color in a true red blend from all over California for rich red wine lovers. BlackBerry, blueberry upfront. Big and bold, very complex, I want more."
